"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"9754","female","Hispana","associate's degree","completed","divorced","sometimes",0,1,1,"5 - 10",68,77,83,76
"9755","female","Asiática","high school","completed","single","sometimes",0,1,0,"5 - 10",65,77,72,71
"9756","female","Hispana","high school","none","married","regularly",0,1,0,"> 10",74,75,66,72
"9757","female","Hispana","bachelor's degree","none","divorced","sometimes",1,1,0,"5 - 10",59,66,64,63
"9758","female","Caucásica","some college","none","married","regularly",0,1,0,"5 - 10",80,86,86,84
"9759","female","Negra","associate's degree","none","married","regularly",0,1,1,"> 10",62,72,66,67
"9760","female","Americana","associate's degree","completed","married","regularly",0,0,0,"5 - 10",55,65,70,63
"9761","female","Caucásica","some college","none","single","regularly",0,1,0,"5 - 10",80,79,70,76
"9765","female","Negra","high school","completed","married","sometimes",0,1,0,"5 - 10",73,89,85,82
"9766","male","Hispana","high school","completed","divorced","sometimes",1,1,0,"< 5",70,63,65,66
"9767","male","Hispana","some college","completed","married","sometimes",0,1,1,"< 5",85,72,78,78
"9768","male","Caucásica","some college","completed","single","regularly",0,1,1,"5 - 10",83,78,73,78
"9769","male","Hispana","some college","none","married","regularly",0,1,0,"5 - 10",86,74,76,79
"9771","female","Americana","master's degree","none","married","regularly",0,1,1,"< 5",76,89,87,84
"9773","male","Caucásica","master's degree","completed","single","sometimes",0,0,1,"< 5",45,41,36,41
"9776","male","Asiática","some high school","completed","single","sometimes",0,1,1,"< 5",56,59,56,57
"9780","female","Negra","master's degree","completed","married","sometimes",0,1,1,"5 - 10",54,72,77,68
"9781","female","Americana","bachelor's degree","completed","married","sometimes",1,1,0,"> 10",74,83,83,80
"9782","male","Americana","some high school","none","married","regularly",0,0,0,"5 - 10",65,64,62,64
"9783","male","Asiática","bachelor's degree","completed","single","regularly",0,1,0,"< 5",75,70,66,70
"9784","male","Hispana","bachelor's degree","completed","married","regularly",0,1,1,"< 5",92,86,95,91
"9785","male","Asiática","high school","none","married","sometimes",0,1,1,"5 - 10",51,64,56,57
"9787","female","Hispana","associate's degree","none","married","regularly",0,1,1,"> 10",81,83,84,83
"9788","male","Hispana","associate's degree","none","single","regularly",0,1,1,"5 - 10",67,68,60,65
"9790","female","Asiática","some high school","none","married","sometimes",0,1,0,"< 5",59,70,63,64
"9791","male","Asiática","high school","none","married","regularly",1,1,0,"> 10",71,56,55,61
"9792","male","Americana","associate's degree","completed","single","sometimes",0,1,0,"5 - 10",100,97,96,98
"9793","male","Asiática","bachelor's degree","completed","married","sometimes",0,1,0,"< 5",87,95,93,92
"9796","female","Negra","some college","none","married","never",0,1,0,"> 10",87,90,92,90
"9797","female","Negra","high school","completed","single","sometimes",0,1,0,"< 5",54,76,71,67
"9799","male","Hispana","some college","none","married","regularly",0,1,0,"5 - 10",69,59,64,64
"9801","male","Asiática","some college","none","married","sometimes",0,1,0,"< 5",45,40,36,40
"9802","female","Asiática","bachelor's degree","completed","single","regularly",0,1,1,"> 10",78,89,88,85
"9803","female","Caucásica","high school","completed","divorced","regularly",0,1,0,"5 - 10",51,55,56,54
"9804","male","Asiática","associate's degree","none","single","sometimes",0,1,0,"5 - 10",70,62,65,66
"9807","male","Americana","some college","none","married","sometimes",0,1,0,"5 - 10",77,69,64,70
"9808","male","Americana","high school","none","single","sometimes",0,0,0,"< 5",69,75,73,72
"9809","female","Asiática","high school","none","married","sometimes",1,1,0,"5 - 10",62,72,73,69
"9810","male","Negra","some college","none","single","regularly",1,1,0,"> 10",66,60,63,63
"9815","female","Asiática","some college","none","married","sometimes",0,0,0,"> 10",73,82,76,77
"9817","female","Caucásica","master's degree","none","single","never",0,0,1,"< 5",48,58,55,54
"9818","female","Americana","associate's degree","none","divorced","regularly",0,1,1,"5 - 10",95,92,93,93
"9819","female","Hispana","associate's degree","completed","married","regularly",0,0,0,"5 - 10",73,80,85,79
"9821","female","Asiática","some college","completed","married","sometimes",0,1,0,"> 10",70,70,74,71
"9823","female","Hispana","some college","completed","married","never",0,0,0,"< 5",69,84,84,79
"9824","male","Hispana","master's degree","none","married","regularly",0,1,0,"5 - 10",74,65,73,71
"9826","male","Hispana","master's degree","none","single","regularly",0,1,0,"5 - 10",78,66,73,72
"9829","male","Caucásica","some college","completed","married","regularly",0,1,1,"> 10",68,62,62,64
"9834","male","Negra","master's degree","none","married","regularly",1,1,1,"< 5",47,58,55,53
"9836","female","Negra","master's degree","completed","divorced","sometimes",0,1,0,"> 10",78,99,98,92
"9837","male","Americana","high school","none","single","sometimes",1,1,1,"5 - 10",89,83,80,84
"9841","female","Caucásica","bachelor's degree","none","divorced","regularly",0,0,1,"> 10",96,91,92,93
"9842","female","Negra","high school","completed","married","sometimes",0,1,1,"< 5",44,51,50,48
"9843","female","Caucásica","bachelor's degree","none","divorced","regularly",0,1,0,"5 - 10",72,68,74,71
"9844","female","Asiática","high school","completed","married","sometimes",0,1,1,"< 5",54,73,73,67
"9845","female","Negra","some college","none","married","sometimes",1,1,0,"5 - 10",75,73,76,75
"9846","male","Caucásica","master's degree","none","single","sometimes",0,1,0,"< 5",74,73,72,73
"9849","female","Negra","high school","completed","divorced","sometimes",0,1,1,"5 - 10",28,54,51,44
"9851","male","Asiática","master's degree","completed","married","sometimes",0,1,1,"5 - 10",78,81,76,78
"9853","female","Asiática","associate's degree","none","divorced","sometimes",0,1,0,"5 - 10",81,94,100,92
"9854","female","Negra","some high school","none","single","sometimes",0,1,0,"< 5",26,34,30,30
"9858","female","Asiática","associate's degree","completed","divorced","sometimes",0,0,1,"< 5",51,66,62,60
"9859","male","Caucásica","some college","none","divorced","sometimes",0,1,1,"> 10",80,68,63,70
"9860","male","Americana","some college","none","divorced","sometimes",0,0,0,"5 - 10",91,90,81,87
"9861","male","Hispana","some college","none","widowed","sometimes",0,1,0,"< 5",65,58,58,60
"9863","female","Caucásica","some college","none","married","regularly",0,1,0,"5 - 10",64,62,59,62
"9865","female","Hispana","some college","none","divorced","sometimes",1,1,0,"< 5",84,77,78,80
"9866","female","Asiática","associate's degree","none","divorced","regularly",0,0,0,"5 - 10",87,88,92,89
"9867","female","Asiática","some high school","completed","single","regularly",1,1,0,"< 5",30,37,43,37
"9870","female","Negra","associate's degree","none","single","regularly",1,1,0,"5 - 10",60,70,69,66
"9872","male","Caucásica","some college","none","married","sometimes",0,1,1,"< 5",96,77,74,82
"9874","female","Asiática","associate's degree","none","single","regularly",0,1,1,"5 - 10",60,74,74,69
"9875","female","Americana","some college","none","married","sometimes",0,0,0,"5 - 10",55,68,64,62
"9877","female","Asiática","associate's degree","none","married","regularly",0,1,1,"5 - 10",63,82,73,73
"9878","female","Hispana","high school","none","divorced","sometimes",0,1,1,"> 10",90,85,80,85
"9880","male","Negra","associate's degree","completed","married","regularly",1,1,0,"5 - 10",53,52,52,52
"9881","male","Asiática","master's degree","none","married","regularly",0,1,0,"5 - 10",68,61,64,64
"9882","female","Hispana","some high school","none","married","regularly",0,1,1,"5 - 10",60,75,68,68
"9884","female","Hispana","high school","completed","married","sometimes",1,1,0,"5 - 10",73,75,78,75
"9885","male","Negra","high school","none","single","regularly",1,1,1,"5 - 10",47,33,31,37
"9886","male","Hispana","some high school","completed","single","sometimes",1,1,0,"5 - 10",84,84,90,86
"9887","male","Americana","high school","none","married","sometimes",0,1,0,"5 - 10",70,59,57,62
"9892","female","Asiática","bachelor's degree","none","divorced","sometimes",1,1,0,"< 5",61,69,66,65
"9894","female","Caucásica","master's degree","none","married","sometimes",0,1,0,"< 5",67,69,70,69
"9895","male","Negra","some college","none","married","regularly",0,1,0,"5 - 10",74,65,61,67
"9896","male","Asiática","high school","none","married","sometimes",1,1,1,"5 - 10",37,41,28,35
"9897","female","Hispana","high school","none","married","regularly",0,1,1,"5 - 10",87,96,94,92
"9898","female","Asiática","associate's degree","none","single","sometimes",0,1,0,"5 - 10",58,65,69,64
"9900","male","Asiática","high school","none","married","never",0,1,0,"> 10",58,60,58,59
"9902","female","Asiática","some high school","none","single","sometimes",0,1,0,"5 - 10",60,81,71,71
"9905","male","Caucásica","associate's degree","none","single","sometimes",0,1,0,"> 10",100,100,100,100
"9907","male","Hispana","associate's degree","none","married","regularly",0,1,1,"< 5",36,39,44,40
"9908","female","Negra","high school","none","single","sometimes",1,1,0,"5 - 10",71,84,80,78
"9909","female","Negra","some college","completed","married","regularly",0,1,0,"> 10",82,89,98,90
"9912","female","Caucásica","master's degree","completed","divorced","sometimes",0,1,0,"5 - 10",78,76,85,80
"9915","female","Hispana","high school","none","married","sometimes",0,1,0,"5 - 10",47,54,54,52
"9917","male","Asiática","some high school","none","married","regularly",1,1,0,"< 5",45,50,47,47
"9918","female","Caucásica","some college","completed","divorced","regularly",0,1,1,"< 5",58,68,65,64
"9920","female","Asiática","some college","none","divorced","regularly",1,1,0,"5 - 10",57,58,56,57
"9921","male","Negra","high school","none","married","never",0,0,0,"< 5",75,68,69,71
"9922","male","Caucásica","some college","completed","married","regularly",1,1,0,"5 - 10",86,83,77,82
"9923","male","Hispana","some college","none","married","sometimes",0,1,1,"5 - 10",62,60,53,58
"9924","female","Hispana","associate's degree","none","married","sometimes",1,1,0,"> 10",63,85,74,74
"9925","female","Caucásica","some college","completed","divorced","sometimes",0,1,0,"< 5",97,98,98,98
"9926","male","Negra","bachelor's degree","none","married","regularly",0,1,1,"5 - 10",64,56,56,59
"9927","female","Negra","bachelor's degree","completed","single","sometimes",1,1,1,"< 5",32,52,53,46
"9931","female","Asiática","some high school","none","married","sometimes",1,1,0,"< 5",48,58,50,52
"9932","male","Negra","bachelor's degree","completed","married","sometimes",0,1,0,"< 5",84,81,83,83
"9934","male","Asiática","associate's degree","none","married","never",0,0,1,"< 5",53,57,52,54
"9936","male","Asiática","some high school","completed","divorced","sometimes",1,1,0,"< 5",89,94,84,89
"9937","male","Caucásica","some college","none","divorced","sometimes",0,1,0,"> 10",72,58,56,62
"9939","female","Negra","associate's degree","completed","divorced","never",0,1,0,"> 10",59,76,73,69
"9940","female","Caucásica","associate's degree","completed","single","sometimes",0,1,0,"> 10",86,93,93,91
"9941","female","Caucásica","bachelor's degree","completed","married","sometimes",0,1,1,"> 10",85,74,80,80
"9942","female","Asiática","associate's degree","completed","single","sometimes",0,1,1,"5 - 10",67,75,74,72
"9943","male","Asiática","associate's degree","none","married","sometimes",0,1,1,"5 - 10",53,51,49,51
"9945","male","Asiática","some high school","none","married","sometimes",1,1,1,"> 10",55,53,46,51
"9946","male","Asiática","some high school","completed","married","sometimes",0,1,0,"> 10",54,62,62,59
"9947","female","Caucásica","associate's degree","none","single","regularly",1,1,1,"5 - 10",92,82,84,86
"9948","female","Caucásica","some high school","completed","single","sometimes",0,1,0,"5 - 10",97,82,92,90
"9949","male","Negra","bachelor's degree","none","married","regularly",1,1,0,"> 10",96,90,95,94
"9950","male","Hispana","some high school","none","single","sometimes",1,1,1,"5 - 10",61,64,63,63
"9951","female","Negra","some college","none","single","regularly",1,1,0,"< 5",55,70,64,63
"9952","female","Caucásica","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",64,66,69,66
"9953","female","Hispana","high school","none","married","regularly",0,1,1,"5 - 10",69,66,65,67
"9954","male","Hispana","high school","none","married","sometimes",1,1,0,"5 - 10",73,65,61,66
"9955","male","Hispana","some college","none","married","never",1,1,1,"< 5",41,53,46,47
"9956","female","Negra","bachelor's degree","completed","married","regularly",1,1,1,"5 - 10",71,65,73,70
"9957","female","Hispana","some high school","completed","single","regularly",0,1,0,"< 5",40,58,60,53
"9958","male","Asiática","associate's degree","none","divorced","regularly",0,1,0,"> 10",95,94,90,93
"9961","male","Americana","bachelor's degree","completed","married","sometimes",0,1,1,"5 - 10",66,64,65,65
"9963","female","Negra","high school","completed","divorced","sometimes",1,1,1,"5 - 10",73,83,83,80
"9964","female","Asiática","some high school","none","married","regularly",0,1,1,"> 10",68,71,67,69
"9967","male","Asiática","some college","none","married","regularly",1,1,1,"< 5",53,41,39,44
"9969","female","Caucásica","high school","completed","married","regularly",0,1,0,"5 - 10",70,87,85,81
